loss,val_loss
0.02074882760643959,0.003370625199750066
0.00700567290186882,0.003208010457456112
0.005617682356387377,0.0033026712480932474
0.0050290669314563274,0.0032226378098130226
0.004651420284062624,0.0031894082203507423
0.00442464230582118,0.0031973773147910833
0.004273478873074055,0.003173606935888529
0.004157562740147114,0.0031324736773967743
0.004103208892047405,0.0031716562807559967
0.004035781137645245,0.0032139455433934927
0.003959053196012974,0.003113274462521076
0.0039018571842461824,0.003146716160699725
0.003938991576433182,0.003159932093694806
0.0038746590726077557,0.0032137008383870125
0.0038648906629532576,0.0031264706049114466
0.0038229371421039104,0.003167011309415102
0.0038046101108193398,0.0031810591462999582
0.0037566700484603643,0.003138452535495162
0.0037606486584991217,0.00311860628426075
0.003729084739461541,0.0031867718789726496
0.0037231084425002337,0.003170820651575923
