loss,val_loss
0.03450759872794151,0.0050309463404119015
0.010326631367206573,0.0037022680044174194
0.007808492984622717,0.003549447050318122
0.006576066836714745,0.0032625130843371153
0.005762611515820026,0.0036904169246554375
0.005286059342324734,0.0034318119287490845
0.004933209624141455,0.004390968009829521
0.0046978238970041275,0.003773273201659322
0.0045866584405303,0.0031375717371702194
0.004487758502364159,0.0033629629760980606
0.004391999449580908,0.0033821864053606987
0.0042974636889994144,0.003343203803524375
0.004239445552229881,0.0030808455776423216
0.004186707083135843,0.00315079209394753
0.004126879386603832,0.003213986288756132
0.004102085251361132,0.0031853571999818087
0.004059514496475458,0.0032384435180574656
0.003995377104729414,0.003376913024112582
0.0039923107251524925,0.0033985914196819067
0.003968807868659496,0.0031265884172171354
0.00395577447488904,0.0031580107752233744
0.003922112751752138,0.0031252235639840364
0.003882825141772628,0.003069158410653472
0.0038849550765007734,0.0031350196804851294
0.00387917784973979,0.003137041814625263
0.0038664177991449833,0.0031564924865961075
0.0038557325024157763,0.003176742000505328
0.003820168785750866,0.00321177882142365
0.0038328839000314474,0.0031430425588041544
0.0038259411230683327,0.003108119824901223
0.0038239487912505865,0.003182352054864168
0.003809204790741205,0.0031027761287987232
0.003808884648606181,0.003142966190353036
