loss,val_loss
0.04331088066101074,0.0043580676428973675
0.009182421490550041,0.0037186448462307453
0.007153058424592018,0.0035903239622712135
0.006113815121352673,0.0036406677681952715
0.00549688283354044,0.003473702585324645
0.005026428960263729,0.0035080653615295887
0.004783787298947573,0.003271760419011116
0.004551226738840342,0.0031779520213603973
0.0043859886936843395,0.0032217931002378464
0.004240664187818766,0.0030776679050177336
0.004214664455503225,0.0031408038921654224
0.004114624112844467,0.0031992115546017885
0.004092729650437832,0.003207880537956953
0.004002813249826431,0.0031851280946284533
0.003977702930569649,0.0031068192329257727
0.003967268392443657,0.0032001386862248182
0.0039389245212078094,0.003131590550765395
0.003939024172723293,0.003161794040352106
0.0038922508247196674,0.003111613681539893
0.0038724986370652914,0.0031244191341102123
